idx: 0, duration: 719.9572709999047, totel: 719.9572709999047
idx: 1, duration: 726.9497130000964, totel: 1446.906984000001
idx: 2, duration: 691.9962410000153, totel: 2138.9032250000164
idx: 3, duration: 733.3401109999977, totel: 2872.243336000014
idx: 4, duration: 744.8388479999267, totel: 3617.0821839999408
idx: 5, duration: 720.9822970000096, totel: 4338.06448099995
idx: 6, duration: 769.4207010003738, totel: 5107.485182000324
idx: 7, duration: 784.5089160003699, totel: 5891.994098000694
idx: 8, duration: 736.0412079999223, totel: 6628.035306000616
idx: 9, duration: 679.3926170002669, totel: 7307.427923000883
idx: 10, duration: 691.2743650004268, totel: 7998.70228800131
idx: 11, duration: 766.8352359998971, totel: 8765.537524001207
idx: 12, duration: 751.9517089999281, totel: 9517.489233001135
idx: 13, duration: 708.7380369999446, totel: 10226.22727000108
idx: 14, duration: 725.6983469999395, totel: 10951.92561700102
idx: 15, duration: 751.2665669997223, totel: 11703.192184000742
idx: 16, duration: 701.0308730001561, totel: 12404.223057000898
idx: 17, duration: 738.4028099998832, totel: 13142.625867000781
idx: 18, duration: 787.2325410000049, totel: 13929.858408000786
idx: 19, duration: 752.3613700000569, totel: 14682.219778000843
idx: 20, duration: 727.1325810002163, totel: 15409.352359001059
idx: 21, duration: 726.6735610002652, totel: 16136.025920001324
idx: 22, duration: 776.0559820001945, totel: 16912.08190200152
idx: 23, duration: 691.5072039999068, totel: 17603.589106001426
idx: 24, duration: 696.8804409997538, totel: 18300.46954700118
idx: 25, duration: 714.4991830000654, totel: 19014.968730001245
idx: 26, duration: 794.2912800000049, totel: 19809.26001000125
idx: 27, duration: 769.3694469998591, totel: 20578.62945700111
idx: 28, duration: 733.0186819997616, totel: 21311.64813900087
idx: 29, duration: 732.6479319999926, totel: 22044.296071000863
idx: 30, duration: 715.2269230000675, totel: 22759.52299400093
idx: 31, duration: 784.452045999933, totel: 23543.975040000863
idx: 32, duration: 757.430960000027, totel: 24301.40600000089
idx: 33, duration: 797.7627790002152, totel: 25099.168779001106
idx: 34, duration: 717.1322480002418, totel: 25816.301027001347
idx: 35, duration: 778.625549999997, totel: 26594.926577001344
idx: 36, duration: 748.8445439999923, totel: 27343.771121001337
idx: 37, duration: 817.424970000051, totel: 28161.196091001388
idx: 38, duration: 725.4852700000629, totel: 28886.68136100145
idx: 39, duration: 759.2927579996176, totel: 29645.974119001068
idx: 40, duration: 712.6915099998005, totel: 30358.66562900087
idx: 41, duration: 720.3022459996864, totel: 31078.967875000555
idx: 42, duration: 702.5794549998827, totel: 31781.547330000438
idx: 43, duration: 732.7707440000959, totel: 32514.318074000534
idx: 44, duration: 747.3407729999162, totel: 33261.65884700045
idx: 45, duration: 754.0818679998629, totel: 34015.74071500031
idx: 46, duration: 673.6003900002688, totel: 34689.34110500058
idx: 47, duration: 769.7023380002938, totel: 35459.043443000875
idx: 48, duration: 758.7466620001942, totel: 36217.79010500107
idx: 49, duration: 657.5151289999485, totel: 36875.30523400102
idx: 50, duration: 689.1980519997887, totel: 37564.50328600081
idx: 51, duration: 766.6664470001124, totel: 38331.16973300092
idx: 52, duration: 665.4824230000377, totel: 38996.65215600096
idx: 53, duration: 816.7552990000695, totel: 39813.40745500103
idx: 54, duration: 748.6677709999494, totel: 40562.075226000976
idx: 55, duration: 709.721431999933, totel: 41271.79665800091
idx: 56, duration: 732.1344190002419, totel: 42003.93107700115
idx: 57, duration: 810.1846940000542, totel: 42814.115771001205
idx: 58, duration: 698.4454780002125, totel: 43512.56124900142
idx: 59, duration: 688.0279989996925, totel: 44200.58924800111
idx: 60, duration: 775.8575170002878, totel: 44976.4467650014
idx: 61, duration: 749.7773110000417, totel: 45726.22407600144
idx: 62, duration: 675.536303000059, totel: 46401.7603790015
idx: 63, duration: 748.7923590000719, totel: 47150.55273800157
idx: 64, duration: 694.0665339999832, totel: 47844.61927200155
idx: 65, duration: 728.7976749995723, totel: 48573.416947001126
idx: 66, duration: 683.7054249998182, totel: 49257.122372000944
idx: 67, duration: 716.7779610003345, totel: 49973.90033300128
idx: 68, duration: 723.2001249999739, totel: 50697.10045800125
idx: 69, duration: 701.6814430002123, totel: 51398.781901001465
idx: 70, duration: 720.3488650000654, totel: 52119.13076600153
idx: 71, duration: 676.6948609999381, totel: 52795.82562700147
idx: 72, duration: 712.2382689998485, totel: 53508.06389600132
idx: 73, duration: 651.324179999996, totel: 54159.38807600131
idx: 74, duration: 729.350350999739, totel: 54888.73842700105
idx: 75, duration: 694.9077970003709, totel: 55583.64622400142
idx: 76, duration: 820.5680800001137, totel: 56404.214304001536
idx: 77, duration: 752.6684610000812, totel: 57156.88276500162
idx: 78, duration: 743.0778959998861, totel: 57899.9606610015
idx: 79, duration: 705.4981689997949, totel: 58605.4588300013
idx: 80, duration: 723.3589989999309, totel: 59328.81782900123
idx: 81, duration: 836.508261999581, totel: 60165.32609100081
idx: 82, duration: 685.849076999817, totel: 60851.17516800063
idx: 83, duration: 734.213667999953, totel: 61585.38883600058
idx: 84, duration: 715.1228610002436, totel: 62300.511697000824
idx: 85, duration: 664.7841360000893, totel: 62965.29583300091
idx: 86, duration: 760.3979540001601, totel: 63725.69378700107
idx: 87, duration: 704.4114060001448, totel: 64430.10519300122
idx: 88, duration: 720.110704000108, totel: 65150.215897001326
idx: 89, duration: 821.1465239999816, totel: 65971.36242100131
idx: 90, duration: 682.2405649996363, totel: 66653.60298600094
idx: 91, duration: 804.4897300000302, totel: 67458.09271600097
idx: 92, duration: 769.1998680001125, totel: 68227.29258400109
idx: 93, duration: 756.0070249997079, totel: 68983.2996090008
idx: 94, duration: 707.8403070000932, totel: 69691.13991600089
idx: 95, duration: 715.5336560001597, totel: 70406.67357200105
idx: 96, duration: 762.8985810000449, totel: 71169.57215300109
idx: 97, duration: 748.726945000235, totel: 71918.29909800133
idx: 98, duration: 694.5890290001407, totel: 72612.88812700147
idx: 99, duration: 734.7931880000979, totel: 73347.68131500157
idx: 100, duration: 752.2281550001353, totel: 74099.9094700017
idx: 101, duration: 723.7385530001484, totel: 74823.64802300185
idx: 102, duration: 803.8351519997232, totel: 75627.48317500157
idx: 103, duration: 749.3674159999937, totel: 76376.85059100157
idx: 104, duration: 693.9703820003197, totel: 77070.82097300189
idx: 105, duration: 688.9721349999309, totel: 77759.79310800182
idx: 106, duration: 708.7762899999507, totel: 78468.56939800177
idx: 107, duration: 739.4351460002363, totel: 79208.004544002
idx: 108, duration: 693.4251490002498, totel: 79901.42969300225
idx: 109, duration: 701.5092020002194, totel: 80602.93889500247
idx: 110, duration: 764.0836559999734, totel: 81367.02255100245
idx: 111, duration: 717.0183699997142, totel: 82084.04092100216
idx: 112, duration: 725.9673160002567, totel: 82810.00823700242
idx: 113, duration: 747.190624000039, totel: 83557.19886100246
idx: 114, duration: 751.285834999755, totel: 84308.48469600221
idx: 115, duration: 708.450869999826, totel: 85016.93556600204
idx: 116, duration: 683.7557709999382, totel: 85700.69133700198
idx: 117, duration: 701.0154849998653, totel: 86401.70682200184
idx: 118, duration: 724.3104309998453, totel: 87126.01725300169
idx: 119, duration: 715.8400369998999, totel: 87841.85729000159
idx: 120, duration: 861.1318079996854, totel: 88702.98909800127
idx: 121, duration: 718.4435939998366, totel: 89421.43269200111
idx: 122, duration: 722.6301979999989, totel: 90144.0628900011
idx: 123, duration: 692.5582790002227, totel: 90836.62116900133
idx: 124, duration: 710.6840050001629, totel: 91547.30517400149
idx: 125, duration: 710.0800749999471, totel: 92257.38524900144
idx: 126, duration: 771.2720209998079, totel: 93028.65727000125
idx: 127, duration: 790.9126339997165, totel: 93819.56990400096
idx: 128, duration: 702.6756790000945, totel: 94522.24558300106
idx: 129, duration: 669.5181089998223, totel: 95191.76369200088
idx: 130, duration: 709.7077669999562, totel: 95901.47145900084
idx: 131, duration: 663.3474440001883, totel: 96564.81890300103
idx: 132, duration: 716.1291910000145, totel: 97280.94809400104
idx: 133, duration: 707.3059290000238, totel: 97988.25402300106
idx: 134, duration: 833.4587670001201, totel: 98821.71279000118
idx: 135, duration: 677.0460879998282, totel: 99498.75887800101
idx: 136, duration: 671.9900829996914, totel: 100170.7489610007
idx: 137, duration: 716.0508610000834, totel: 100886.79982200079
idx: 138, duration: 677.8247179999016, totel: 101564.62454000069
idx: 139, duration: 672.0082650003023, totel: 102236.63280500099
idx: 140, duration: 707.1934970002621, totel: 102943.82630200125
idx: 141, duration: 801.8802269999869, totel: 103745.70652900124
idx: 142, duration: 788.5580190001056, totel: 104534.26454800135
idx: 143, duration: 863.4272770001553, totel: 105397.6918250015
idx: 144, duration: 710.9983640001155, totel: 106108.69018900162
idx: 145, duration: 679.1245129997842, totel: 106787.8147020014
idx: 146, duration: 682.0791739998385, totel: 107469.89387600124
idx: 147, duration: 1287.7098439997062, totel: 108757.60372000095
idx: 148, duration: 1304.8034500000067, totel: 110062.40717000095
idx: 149, duration: 1296.7827139999717, totel: 111359.18988400092
idx: 150, duration: 1312.923677999992, totel: 112672.11356200092
idx: 151, duration: 1304.120775999967, totel: 113976.23433800088
idx: 152, duration: 1289.7174949999899, totel: 115265.95183300087
idx: 153, duration: 1332.4401600002311, totel: 116598.3919930011
idx: 154, duration: 1336.8119799997658, totel: 117935.20397300087
idx: 155, duration: 1346.908300000243, totel: 119282.11227300111
idx: 156, duration: 1339.8419149997644, totel: 120621.95418800088
idx: 157, duration: 1341.3986219996586, totel: 121963.35281000054
idx: 158, duration: 1358.3534699999727, totel: 123321.70628000051
idx: 159, duration: 1357.6533070001751, totel: 124679.35958700068
idx: 160, duration: 1356.1308609996922, totel: 126035.49044800038
